Model,RMSE,MAE,Bias,Correlation,Skill Score,POD,FAR,CSI,FBIAS,F1,threshold_mm,n_events_obs,hits,misses,false_alarms
ECMWF HRES,0.23454711387873703,0.09738620876750438,-0.09130977498070994,0.22771356679727026,-0.07720983122413894,0.75,0.22,0.62,0.962,0.765,2.5,120,90,30,25
NOAA GFS,2.015024857879408,0.8749435249065246,0.8746445863815248,0.501158745380199,-8.254450209056692,0.68,0.31,0.52,0.985,0.684,2.5,120,82,38,37
ASTRA Blend,0.1824306414215775,0.11292297931725491,0.003710301063950124,0.5475015324455362,0.16214666978400982,0.84,0.15,0.74,0.988,0.851,2.5,120,101,19,18
